Csapatok,Futamok szama,Gyozelmek száma,Pódiumok,Bajnoki címek,First entry
Mercedes,251,124,265,8,1954.07.04
Red Bull,328,76,207,4,2005.03.06
Ferrari,1034,238,777,16,1950.05.21
McLaren-Mercedes,908,183,493,8,1966.05.22
Alpine-Renault,24,1,2,0,2021.03.28
AlphaTauri-Red Bull,41,1,2,0,2020.07.05
Aston Martin-Mercedes,30,0,1,0,1959.05.31
Williams-Mercedes,772,114,313,9,1977.05.08
Alfa Romeo-Ferrari,172,10,26,0,1950.05.13
Haas-Ferrari,124,0,0,0,2016.03.20
